"bout.ID","x","time.num","direction","bee_ID","round","treatment","microcolony","datetime","deployed_at","day_or_night","total_deployment_time"
"2",4.23636363636364,8.81353467948927,1,275,"2","flupyradifurone","2_flupyradifurone",2023-08-08 19:31:29.396308,2023-08-08 17:55:01,"day",22.3333333333333
"3",-723,8.81498998329319,-1,275,"2","flupyradifurone","2_flupyradifurone",2023-08-08 19:33:35.134557,2023-08-08 17:55:01,"day",22.3333333333333
"4",11.0666666666667,8.81972178747688,1,275,"2","flupyradifurone","2_flupyradifurone",2023-08-08 19:40:23.962438,2023-08-08 17:55:01,"day",22.3333333333333
"5",5.6,9.49361681663378,1,275,"2","flupyradifurone","2_flupyradifurone",2023-08-09 11:50:48.492957,2023-08-08 17:55:01,"day",22.3333333333333
"6",-6.84375,9.5185570366505,-1,275,"2","flupyradifurone","2_flupyradifurone",2023-08-09 12:26:43.327967,2023-08-08 17:55:01,"day",22.3333333333333
"7",-17,9.51992419459999,-1,275,"2","flupyradifurone","2_flupyradifurone",2023-08-09 12:28:41.450413,2023-08-08 17:55:01,"day",22.3333333333333
"8",90.4545454545455,9.56603606815461,1,275,"2","flupyradifurone","2_flupyradifurone",2023-08-09 13:35:05.516289,2023-08-08 17:55:01,"day",22.3333333333333
"9",2.86206896551724,9.56796170186573,1,275,"2","flupyradifurone","2_flupyradifurone",2023-08-09 13:37:51.891041,2023-08-08 17:55:01,"day",22.3333333333333
"10",-39.0769230769231,9.57056138846057,-1,275,"2","flupyradifurone","2_flupyradifurone",2023-08-09 13:41:36.503963,2023-08-08 17:55:01,"day",22.3333333333333
"11",178.5,9.67925800713235,1,275,"2","flupyradifurone","2_flupyradifurone",2023-08-09 16:18:07.891816,2023-08-08 17:55:01,"day",22.3333333333333
"1",29,9.42539471973649,1,261,"2","flupyradifurone","2_flupyradifurone",2023-08-09 10:12:34.103785,2023-08-08 17:55:01,"day",22.3333333333333
"1",54.8571428571429,9.50640285217997,1,276,"2","flupyradifurone","2_flupyradifurone",2023-08-09 12:09:13.206428,2023-08-08 17:55:01,"day",22.3333333333333
"1",-11,9.57889179623548,-1,268,"2","flupyradifurone","2_flupyradifurone",2023-08-09 13:53:36.251195,2023-08-08 17:55:01,"day",22.3333333333333
"2",-78.3333333333333,9.58067093195711,-1,268,"2","flupyradifurone","2_flupyradifurone",2023-08-09 13:56:09.968521,2023-08-08 17:55:01,"day",22.3333333333333
